filename,mfccs,spectral_centroid,zero_crossing_rate,duration_sec
6001_086.wav,"[-149.21686      54.3584      -16.61987      -3.1121883   -43.240387
  -11.488022    -28.292269      0.85949594  -21.476837      0.38432643
  -14.684025     -6.1915507    -9.459784  ]",1087.26011344811,0.15339265046296297,5.152
6033_087.wav,"[-200.51538     88.61843    -53.281555   -14.5590515  -29.002972
   -9.552683   -21.21981     -4.0012407  -20.129995    -0.3747566
  -13.219759   -13.033378    -9.41214  ]",971.0938865307152,0.17368040966386555,7.604
5818_087.wav,"[-169.36708     87.2415     -29.153421   -10.372892   -38.115032
  -18.915571   -18.145208    -5.4273567  -17.502756     1.1903265
  -13.470705    -6.47962    -17.016933 ]",895.1242959519305,0.14993807164634146,5.184
5921_088.wav,"[-196.20209    109.26831     -1.2494226    3.4957428  -29.953934
  -17.529404   -21.371384    -1.5736347  -18.018475     3.660535
  -17.745117   -16.309135   -12.642776 ]",706.2597162073474,0.095306396484375,4.088
5956_089.wav,"[-96.96379   116.500565  -16.46948   -11.7707615 -27.239433  -15.067367
 -13.071257   -5.442244  -10.774949   -7.235885  -11.139608  -10.893704
 -19.178488 ]",762.0774918358917,0.12003843245967742,3.92
6010_052.wav,"[-184.22562    117.06074     14.196574    18.999924   -20.589994
   -6.3560576  -25.255026    -4.8474736  -11.326523   -10.069782
   -9.544994   -13.919767   -12.784183 ]",597.385870617789,0.06754557291666667,3.98
5956_098.wav,"[-225.0141      95.9062      21.597418    -9.760874   -23.276022
   -8.62191    -21.20751     -4.778365   -10.152313    -7.4935513
   -9.589531    -7.428183   -10.595845 ]",955.8137954668349,0.1428639481707317,5.216
5789_088.wav,"[-219.19885     145.3392       11.497227     -0.49167997  -35.357853
  -30.14304     -30.547796    -13.022614    -18.703856     -1.5840662
   -8.076289    -11.422749    -14.0234995 ]",564.6203205769324,0.11256803019662921,5.668
5921_066.wav,"[-269.87982    134.0964      15.485923    10.628898    -5.2057962
  -12.879961   -15.523137    -1.1488935  -13.905071    -7.590655
   -8.992525    -9.734928    -9.608113 ]",591.9400120360749,0.08389718191964286,5.34
5818_086.wav,"[-157.50134    124.267784   -43.484913   -26.016705   -28.944143
  -23.125141   -23.732641    -7.0438514  -22.062632    -2.562649
  -10.406858    -9.0954895   -6.108147 ]",709.2986981762577,0.13042763157894738,6.032
5835_052.wav,"[-179.3157    131.2086     11.410956   27.355087  -10.872395  -12.946979
  -16.009499   -1.274528   -8.780592   -8.408884   -6.756045  -11.181933
  -10.879161]",497.2860546262669,0.05400254991319445,4.58
5956_066.wav,"[-3.0392303e+02  1.3855222e+02  9.4952269e+00  5.6998563e+00
  1.2203385e-01 -1.3979325e+01 -1.7991978e+01 -2.7233765e+00
 -1.4698499e+01 -9.5466671e+00 -1.1458988e+01 -8.5232239e+00
 -1.1266564e+01]",601.9886600590129,0.09086657072368422,6.068
5973_066.wav,"[-276.6699     138.30998     21.719442     8.471845    -3.8342533
  -11.710758   -16.490677    -5.6790752  -11.283837   -10.194417
  -10.156373    -7.941622    -9.802473 ]",577.6662963517829,0.09141522988505747,5.52
5921_089.wav,"[-89.21255    87.647995  -17.24393    -7.856443  -38.847775   -8.835385
 -22.375778   -1.3019079 -10.649294   -6.3009677 -13.175572  -13.366311
 -17.790327 ]",926.9541685975857,0.1307439630681818,3.46
5868_066.wav,"[-230.9392      125.23805     -28.284876     -3.2047458     0.74411565
   -6.39776      -8.438088      4.2943616   -10.868669     -6.1643524
   -6.5018535    -8.943074     -7.739703  ]",823.9362409921375,0.1124071662808642,5.144
5973_087.wav,"[-230.50543     65.56644     -1.4133314   -8.705478   -38.14442
  -10.403487   -20.332611     0.6204461  -19.824667    -6.1635127
  -13.291583    -8.233918    -9.435139 ]",1082.6719722465682,0.19147223395270271,4.68
5921_052.wav,"[-255.4791     131.36166     16.92852     18.093222    -2.9230006
  -14.687852    -9.324157    -4.9216557   -6.698016    -8.510596
   -7.115404   -12.946077   -14.280894 ]",523.5568312111079,0.06293194110576923,4.94
6033_098.wav,"[-161.19592     110.55042      22.954391     -4.346089    -43.59055
    4.2791777   -33.0922       -0.49015346  -12.657686     -4.653178
  -10.994336     -9.002764     -8.942895  ]",794.8174782855102,0.11423017393867925,6.72
